Project_ID,Project_Type,Building_Area_m2,Green_Certification_Level,Policy_Interventions,Lifecycle_Phase,Embodied_Emissions_tCO2e,Operational_Emissions_tCO2e,Supply_Chain_Emission_Share_%,ReadyMix_Concrete_Emission_tCO2e,Electric_Power_Emission_tCO2e,Lighting_Fixture_Emission_tCO2e,Material_Reuse_%,Renewable_Energy_%,Waste_Minimization_%,Urban_Sustainability_Score,Total_Lifecycle_Emissions_tCO2e,Emission_Reduction_%,Emission_Reduction_Class
P0001,High-rise,8702,Silver,2,Operation,956.45,725.68,55.2,534.28,383.47,38.27,45.0,65.4,15.2,87.9,1682.13,24.8,Medium
P0002,Low-rise,2368,Basic,2,Construction,1211.8,769.83,62.3,946.28,1035.56,260.64,16.1,10.3,2.5,50.3,1981.63,19.8,Medium
P0003,High-rise,15061,Platinum,2,Operation,210.56,2354.05,78.6,364.31,355.47,263.17,32.6,56.7,2.6,37.3,2564.61,44.3,High
P0004,High-rise,16012,Platinum,0,Operation,341.32,342.76,32.8,474.13,958.84,152.18,35.4,57.6,1.7,37.5,684.08,38.3,High
P0005,Low-rise,15399,Gold,0,End-of-life,1786.26,1806.09,58.7,808.26,676.74,163.98,38.9,49.6,16.4,69.7,3592.35,28.2,Medium
P0006,Low-rise,16720,Silver,3,Construction,340.18,1324.55,73.2,591.42,1015.32,254.03,28.2,9.2,28.7,57.6,1664.73,25.2,Medium
P0007,High-rise,16434,Platinum,1,Operation,1472.25,1667.68,54.1,592.33,1493.07,226.8,20.1,46.7,8.1,69.4,3139.93,46.7,High
P0008,Mid-rise,5929,None,4,Material Production,1856.07,1819.64,33.9,148.01,1412.94,94.24,48.4,62.2,25.9,71.5,3675.71,19.6,Medium
P0009,High-rise,9576,Gold,2,Operation,687.23,1146.09,58.0,458.74,105.99,24.73,30.6,29.8,27.5,21.7,1833.32,34.2,Medium
P0010,High-rise,4064,None,0,Operation,866.88,1096.79,46.6,343.66,1339.61,154.32,36.4,28.9,10.2,24.1,1963.67,3.7,Low
P0011,High-rise,1889,Gold,3,Material Production,1224.06,2280.18,37.7,999.4,193.09,260.5,17.2,31.0,24.0,60.0,3504.24,39.0,High
P0012,High-rise,12093,Basic,1,Construction,1787.08,2652.45,72.5,377.52,1434.27,270.83,33.5,5.8,27.4,34.3,4439.53,13.5,Low
P0013,Low-rise,7774,Platinum,2,End-of-life,1895.43,819.97,56.1,896.05,494.56,287.74,12.9,62.4,18.7,67.4,2715.4,48.7,High
P0014,High-rise,17708,Platinum,3,End-of-life,1531.21,563.57,76.7,708.61,634.85,266.28,12.3,60.8,13.5,61.4,2094.78,50.9,High
P0015,Mid-rise,19149,None,4,End-of-life,355.92,2724.05,70.3,406.82,228.29,182.41,35.7,69.9,24.8,63.9,3079.97,14.7,Low
P0016,Low-rise,17820,Silver,3,Material Production,1404.48,1244.72,64.6,589.18,257.18,144.49,26.1,41.0,39.1,42.7,2649.2,28.4,Medium
P0017,Mid-rise,11245,Platinum,3,Operation,938.55,1788.56,30.3,856.48,1117.44,236.96,34.2,52.6,17.1,68.0,2727.11,46.4,High
P0018,Mid-rise,14699,Silver,3,Construction,1047.26,1270.77,51.4,895.03,1422.07,227.15,13.5,14.2,15.7,82.2,2318.03,26.0,Medium
P0019,Mid-rise,16376,Platinum,4,Operation,288.47,639.67,39.9,244.35,955.05,170.68,29.9,46.7,18.6,94.9,928.14,53.1,High
P0020,Mid-rise,18680,Silver,1,End-of-life,543.91,1891.2,75.5,405.62,1102.19,44.45,22.2,45.5,3.0,82.9,2435.11,22.6,Medium
P0021,Low-rise,8745,Basic,0,Operation,1622.92,1717.88,38.7,401.7,1166.76,279.3,29.8,63.1,22.1,61.8,3340.8,8.1,Low
P0022,Low-rise,7714,Basic,1,Material Production,1017.13,848.08,44.3,137.84,467.94,147.57,14.5,58.2,13.1,34.5,1865.21,17.0,Medium
